title,price,location,bedrooms,bathrooms,surface_total,surface_useful,url,description
Carolina Rabat/ Departamento Tipo Casa,32500.0,"CAROLINA RABAT/ DEPARTAMENTO TIPO CASA, Santa María De Manquehue, Vitacura",5.0,6.0,,405.0,https://portalinmobiliario.com/MLC-1710651791-carolina-rabat-departamento-tipo-casa-_JM#polycard_client=search-nordic&search_layout=grid&position=7&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
"Departamento Venta Vitacura, Alonso Cordova Kennedy 3d 4b",18500.0,"El Pangue / Kennedy Lateral, Parque Bicentenario, Vitacura",3.0,4.0,,296.0,https://portalinmobiliario.com/MLC-3002543076-departamento-venta-vitacura-alonso-cordova-kennedy-3d-4b-_JM#polycard_client=search-nordic&search_layout=grid&position=8&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Departamento Las Nieves  - Futura Línea De Metro,13900.0,"Las Nieves, 3300 - 3600, Parque Bicentenario, Vitacura",3.0,4.0,,189.0,https://portalinmobiliario.com/MLC-1711467321-departamento-las-nieves-futura-linea-de-metro-_JM#polycard_client=search-nordic&search_layout=grid&position=9&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Looff Prop Dpto Vitacura Rot. P. Zujovic,7500.0,"Avenida Vitacura 3355, Vitacura, Región Metropolitana De Santiago 7630000, Chile, Parque Bicentenario, Vitacura",2.0,2.0,,75.0,https://portalinmobiliario.com/MLC-1711001473-looff-prop-dpto-vitacura-rot-p-zujovic-_JM#polycard_client=search-nordic&search_layout=grid&position=10&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
"Departamento Kennedy, A Pasos Futura Línea Del Metro",7300.0,"Av. Pdte. Kennedy Lateral 4444, Santiago, Vitacura, Pío XI, Vitacura",2.0,2.0,,60.0,https://portalinmobiliario.com/MLC-1698196981-departamento-kennedy-a-pasos-futura-linea-del-metro-_JM#polycard_client=search-nordic&search_layout=grid&position=11&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Departamento Con Gran Vista - Jardín Del Este,11400.0,"DEPARTAMENTO CON GRAN VISTA - JARDÍN DEL ESTE, Borde Río - Casa Piedra, Vitacura",3.0,3.0,,97.0,https://portalinmobiliario.com/MLC-1684302039-departamento-con-gran-vista-jardin-del-este-_JM#polycard_client=search-nordic&search_layout=grid&position=12&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
"Departamento En Venta De 3 Dorm. Salita , Servicios ,3 Estac",14990.0,"Americo Vespucio / Las Hualtatass, Parque Bicentenario, Vitacura",3.0,5.0,,224.0,https://portalinmobiliario.com/MLC-1610528387-departamento-en-venta-de-3-dorm-salita-servicios-3-estac-_JM#polycard_client=search-nordic&search_layout=grid&position=13&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Espectacular Duplex Penthouse Con Linda Vista,25000.0,"ESPECTACULAR DUPLEX PENTHOUSE CON LINDA VISTA, La Llavería, Vitacura",4.0,4.0,,206.0,https://portalinmobiliario.com/MLC-1710919191-espectacular-duplex-penthouse-con-linda-vista-_JM#polycard_client=search-nordic&search_layout=grid&position=14&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Departamento En Venta En Vitacura Con Terraza,9500.0,Vitacura,2.0,2.0,,69.0,https://portalinmobiliario.com/MLC-3249433282-departamento-en-venta-en-vitacura-con-terraza-_JM#polycard_client=search-nordic&search_layout=grid&position=15&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Depto. Remodelado** En Venta De 3 Dorm. En Vitacura,9200.0,"Excelente Ubicacion En Vitacura*Remodelado Nuevo*3D3B, Tabancura, Vitacura",3.0,3.0,,108.0,https://portalinmobiliario.com/MLC-1710640361-depto-remodelado-en-venta-de-3-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=16&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
¡descubre El Lujo En Las Alturas! Espectacular Penthouse,18000.0,"El Arcángel 5100 - 5400, Vitacura, Chile, Pío XI, Vitacura",4.0,4.0,,191.0,https://portalinmobiliario.com/MLC-1671808243-descubre-el-lujo-en-las-alturas-espectacular-penthouse-_JM#polycard_client=search-nordic&search_layout=grid&position=17&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
"Departamento Encantador 2 Dormitorios, Oportunidad Única.",14850.0,"Los Gomeros 1500 - 1800, Vitacura, Chile, Pío XI, Vitacura",2.0,3.0,,120.0,https://portalinmobiliario.com/MLC-1671819435-departamento-encantador-2-dormitorios-oportunidad-unica-_JM#polycard_client=search-nordic&search_layout=grid&position=18&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Departamento En Venta De 4 Dorm. En Vitacura,15800.0,"Jardín Del Este - Luis Pasteur, Jardín Del Este, Vitacura",4.0,4.0,,189.0,https://portalinmobiliario.com/MLC-1692170829-departamento-en-venta-de-4-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=19&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Exclusivo Departamento En Nueva Costanera,12750.0,"Avenida Nueva Costanera 4355, Vitacura, Chile, Parque Bicentenario, Vitacura",2.0,2.0,,70.0,https://portalinmobiliario.com/MLC-1629515647-exclusivo-departamento-en-nueva-costanera-_JM#polycard_client=search-nordic&search_layout=grid&position=20&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Condominio Carolina Rabat / Santa Maria Manquehue,25900.0,"CONDOMINIO CAROLINA RABAT/ STA MARIA MANQUEHUE, Santa María De Manquehue, Vitacura",4.0,4.0,,360.0,https://portalinmobiliario.com/MLC-1691127905-condominio-carolina-rabat-santa-maria-manquehue-_JM#polycard_client=search-nordic&search_layout=grid&position=21&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Vitacura/luis Carrera,17490.0,"VITACURA/LUIS CARRERA, Estadio Manquehue, Vitacura",3.0,4.0,,111.0,https://portalinmobiliario.com/MLC-1685451955-vitacuraluis-carrera-_JM#polycard_client=search-nordic&search_layout=grid&position=22&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Pedro Canisio/ Remodelado,16200.0,"PEDRO CANISIO /  REMODELADO, Pío XI, Vitacura",3.0,3.0,,144.0,https://portalinmobiliario.com/MLC-1710361967-pedro-canisio-remodelado-_JM#polycard_client=search-nordic&search_layout=grid&position=23&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
"Luminoso Depto En Vitacura, Sector Parque Bicentenario",10900.0,"Bicentenario  SN, Parque Bicentenario, Vitacura",2.0,2.0,,85.0,https://portalinmobiliario.com/MLC-1685368709-luminoso-depto-en-vitacura-sector-parque-bicentenario-_JM#polycard_client=search-nordic&search_layout=grid&position=24&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Departamento En Venta De 3 Dorm. En Vitacura,17140.0,"Vitacura, Estadio Manquehue",3.0,3.0,,125.0,https://portalinmobiliario.com/MLC-1674153897-departamento-en-venta-de-3-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=25&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
"Venta Departamento Vitacura , 4 Dormitorios, 3 Baños",9500.0,"Las Nieves / Armando Jaramillo, Parque Bicentenario, Vitacura",4.0,3.0,,120.0,https://portalinmobiliario.com/MLC-1676681267-venta-departamento-vitacura-4-dormitorios-3-banos-_JM#polycard_client=search-nordic&search_layout=grid&position=26&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Venta-teresa Concha-vitacura,11700.0,"Teresa Concha 1244, Vitacura, Región Metropolitana De Santiago 7630000, Chile, Estadio Manquehue, Vitacura",3.0,3.0,,115.0,https://portalinmobiliario.com/MLC-1710936945-venta-teresa-concha-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=27&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Oportunidad! Penthouse Frente A Parque Arauco,10500.0,"Av. Pdte. Kennedy Lateral, Santiago, Vitacura, Pío XI, Vitacura",3.0,3.0,,138.0,https://portalinmobiliario.com/MLC-1711882757-oportunidad-penthouse-frente-a-parque-arauco-_JM#polycard_client=search-nordic&search_layout=grid&position=28&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Oportunidad! Precioso Depto Con Novación De Crédito,9200.0,"Corte De Apelaciones 900 - 1200, Vitacura, Tabancura, Vitacura",3.0,3.0,,108.0,https://portalinmobiliario.com/MLC-1614052239-oportunidad-precioso-depto-con-novacion-de-credito-_JM#polycard_client=search-nordic&search_layout=grid&position=29&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Depto Con Excelente Ubicación Y Conectividad - Club De Polo,12600.0,"DEPTO CON EXCELENTE UBICACIÓN Y CONECTIVIDAD - CLUB DE POLO, Jardín Del Este, Vitacura",3.0,3.0,,131.0,https://portalinmobiliario.com/MLC-1711624881-depto-con-excelente-ubicacion-y-conectividad-club-de-polo-_JM#polycard_client=search-nordic&search_layout=grid&position=30&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Lindo Dpto Con Excelente Ubicación / Alonso De Cordova,14000.0,"LINDO DPTO CON EXCELENTE UBICACIÓN / ALONSO DE CORDOVA, Parque Bicentenario, Vitacura",3.0,3.0,,120.0,https://portalinmobiliario.com/MLC-1684257615-lindo-dpto-con-excelente-ubicacion-alonso-de-cordova-_JM#polycard_client=search-nordic&search_layout=grid&position=31&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Polo Golf,25500.0,"POLO GOLF, Santa María De Manquehue, Vitacura",3.0,4.0,,233.0,https://portalinmobiliario.com/MLC-1689688495-polo-golf-_JM#polycard_client=search-nordic&search_layout=grid&position=32&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
El Portezuelo,15000.0,"EL PORTEZUELO, Lo Curro, Vitacura",2.0,2.0,,145.0,https://portalinmobiliario.com/MLC-1689636611-el-portezuelo-_JM#polycard_client=search-nordic&search_layout=grid&position=33&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Excelente Conectividad - Vitacura,9000.0,"EXCELENTE CONECTIVIDAD - VITACURA, Jardín Del Este, Vitacura",2.0,2.0,,78.0,https://portalinmobiliario.com/MLC-1710271173-excelente-conectividad-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=34&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Exclusivo Proyecto - Sin Comisión - Entrega Julio 2025,22415.0,"Exclusivo Proyecto - SIN COMISIÓN - Francisco De Riveros - Entrega Segundo Semestre 2025., Borde Río - Casa Piedra, Vitacura",3.0,3.0,,124.0,https://portalinmobiliario.com/MLC-1685990627-exclusivo-proyecto-sin-comision-entrega-julio-2025-_JM#polycard_client=search-nordic&search_layout=grid&position=35&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
"Vista Despejada A La Cordillera, Elegante Dpto.",11500.0,"Santa María, 9000 - 9300, Vitacura",4.0,4.0,,147.0,https://portalinmobiliario.com/MLC-1692735867-vista-despejada-a-la-cordillera-elegante-dpto-_JM#polycard_client=search-nordic&search_layout=grid&position=36&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Remodelado Departamento Con Vista Despejada En Pio Xi,16990.0,"Pío XI, Vitacura",3.0,3.0,,138.0,https://portalinmobiliario.com/MLC-2897049490-remodelado-departamento-con-vista-despejada-en-pio-xi-_JM#polycard_client=search-nordic&search_layout=grid&position=37&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Departamento En Venta En Vitacura Con Terraza,18473.0,"Miguel Comas  Dp. , Vitacura, Región Metropolitana, Santiago., Juan XXIII, Vitacura",3.0,4.0,,138.0,https://portalinmobiliario.com/MLC-3249548808-departamento-en-venta-en-vitacura-con-terraza-_JM#polycard_client=search-nordic&search_layout=grid&position=38&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Duplex Con Rooftop En Lo Curro.,42000.0,"Lo Curro, Vitacura",4.0,4.0,,397.0,https://portalinmobiliario.com/MLC-2931749784-duplex-con-rooftop-en-lo-curro-_JM#polycard_client=search-nordic&search_layout=grid&position=39&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Exclusivo Duplex Penthouse En Lo Curro,25000.0,"Lo Curro, Vitacura",3.0,5.0,,207.0,https://portalinmobiliario.com/MLC-2954910428-exclusivo-duplex-penthouse-en-lo-curro-_JM#polycard_client=search-nordic&search_layout=grid&position=40&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Lindo Y Cómodo Departamento De 1 Dormitorio/ Vitacura,8600.0,"LINDO Y CÓMODO DEPARTAMENTO DE 1 DORMITORIO/ VITACURA, Jardín Del Este, Vitacura",1.0,2.0,,65.0,https://portalinmobiliario.com/MLC-1691296259-lindo-y-comodo-departamento-de-1-dormitorio-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=41&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Departamento En Venta Sector Santa María De Manquehue,30000.0,"Avenida Luis Pasteur, Santa María De Manquehue, Vitacura",4.0,4.0,,283.0,https://portalinmobiliario.com/MLC-3169891406-departamento-en-venta-sector-santa-maria-de-manquehue-_JM#polycard_client=search-nordic&search_layout=grid&position=42&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Departamento En Sector Residencial Con Jardín,29000.0,"Lo Curro, Vitacura",4.0,5.0,,302.0,https://portalinmobiliario.com/MLC-3206072184-departamento-en-sector-residencial-con-jardin-_JM#polycard_client=search-nordic&search_layout=grid&position=43&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Departamento Luminoso En Condominio Exclusivo.,32000.0,"Santa María De Manquehue, Vitacura",3.0,4.0,,236.0,https://portalinmobiliario.com/MLC-2904594032-departamento-luminoso-en-condominio-exclusivo-_JM#polycard_client=search-nordic&search_layout=grid&position=44&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Departamento San Damián Excelente Oportunidad.,21500.0,"Camino El Parque, Tabancura, Vitacura",3.0,5.0,,244.0,https://portalinmobiliario.com/MLC-1709393579-departamento-san-damian-excelente-oportunidad-_JM#polycard_client=search-nordic&search_layout=grid&position=45&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
"Se Vende Promesa, Entrega Segundo Semestre 2025",24000.0,"Rodrigo De Quiroga, Parque Bicentenario, Vitacura",2.0,2.0,,140.0,https://portalinmobiliario.com/MLC-1619439621-se-vende-promesa-entrega-segundo-semestre-2025-_JM#polycard_client=search-nordic&search_layout=grid&position=46&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Oportunidad Departamento Remodelado Cercano Alianza Francesa,15500.0,"Pío XI, Vitacura",3.0,3.0,,224.0,https://portalinmobiliario.com/MLC-2889125680-oportunidad-departamento-remodelado-cercano-alianza-francesa-_JM#polycard_client=search-nordic&search_layout=grid&position=47&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Departamento En Venta En Santa María De Manquehue Con Terra,44900.0,"Carolina Rabat, Santa María De Manquehue, Vitacura",3.0,4.0,,385.0,https://portalinmobiliario.com/MLC-3184882652-departamento-en-venta-en-santa-maria-de-manquehue-con-terra-_JM#polycard_client=search-nordic&search_layout=grid&position=48&type=item&tracking_id=9af3827f-8e93-4667-a161-ce4dd6c9e9e4,
Exclusivo Proyecto - Sin Comisión - Entrega Julio 2025,14158.0,"Francisco De Riveros / Av. Américo Vespucio, Borde Río - Casa Piedra, Vitacura",2.0,2.0,,81.0,https://portalinmobiliario.com/MLC-1685925987-exclusivo-proyecto-sin-comision-entrega-julio-2025-_JM#polycard_client=search-nordic&search_layout=grid&position=1&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento En Venta En Santa María De Manquehue Terraza,25500.0,"Sta. María, Santa María De Manquehue, Vitacura",3.0,4.0,,234.0,https://portalinmobiliario.com/MLC-3184921448-departamento-en-venta-en-santa-maria-de-manquehue-terraza-_JM#polycard_client=search-nordic&search_layout=grid&position=2&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Amplio Departamento Orientación Nororiente En Las Nieves,15900.0,"Las Nieves  D, Parque Bicentenario, Vitacura",3.0,3.0,,242.0,https://portalinmobiliario.com/MLC-3184934410-amplio-departamento-orientacion-nororiente-en-las-nieves-_JM#polycard_client=search-nordic&search_layout=grid&position=3&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Penthouse En Venta Con Planta Libre En El Rooftop.,22500.0,"Parque Bicentenario, Vitacura",2.0,2.0,,120.0,https://portalinmobiliario.com/MLC-2911093688-penthouse-en-venta-con-planta-libre-en-el-rooftop-_JM#polycard_client=search-nordic&search_layout=grid&position=4&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento Casi Nuevo En Corinto,13900.0,"Corinto, Estadio Croata, Vitacura",3.0,3.0,,139.0,https://portalinmobiliario.com/MLC-2983387432-departamento-casi-nuevo-en-corinto-_JM#polycard_client=search-nordic&search_layout=grid&position=5&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Vende Departamento 5 Dormitorios Vista Despejada.,26000.0,"Arco Iris, Lo Curro, Vitacura",5.0,4.0,,330.0,https://portalinmobiliario.com/MLC-2926537406-vende-departamento-5-dormitorios-vista-despejada-_JM#polycard_client=search-nordic&search_layout=grid&position=6&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento En Venta De 4 Dorm. En Vitacura,17800.0,"Luis Pasteur, Jardín Del Este, Vitacura",4.0,3.0,,236.0,https://portalinmobiliario.com/MLC-1674153799-departamento-en-venta-de-4-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=7&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento De Cuatro Dormitorios En Alonso De Sotomayor,19900.0,"Alonso De Sotomayor , Depto , Vitacura, Región Metropolitana, Chile, Parque Bicentenario, Vitacura",4.0,4.0,,213.0,https://portalinmobiliario.com/MLC-1703120575-departamento-de-cuatro-dormitorios-en-alonso-de-sotomayor-_JM#polycard_client=search-nordic&search_layout=grid&position=8&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Luminoso Departamento,12800.0,"Pío XI, Vitacura",3.0,2.0,,164.0,https://portalinmobiliario.com/MLC-2961439910-luminoso-departamento-_JM#polycard_client=search-nordic&search_layout=grid&position=9&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
"Departamento En Venta En Borde Río - Casa Piedra, Vitacura",26800.0,"Luis Carrera, Borde Río - Casa Piedra, Vitacura",2.0,3.0,,250.0,https://portalinmobiliario.com/MLC-3184114964-departamento-en-venta-en-borde-rio-casa-piedra-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=10&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento Sector Vespucio/las Hualtatas,13700.0,"Américo Vespucio Norte  Dp., Pío XI, Vitacura",4.0,3.0,,175.0,https://portalinmobiliario.com/MLC-3005750000-departamento-sector-vespuciolas-hualtatas-_JM#polycard_client=search-nordic&search_layout=grid&position=11&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
"Penthouse Dúplex En Luis Pasteur, Sta. María De Manquehue",29000.0,"Av. Luis Pasteur , Departamento A, Santa María De Manquehue, Vitacura",4.0,5.0,,261.0,https://portalinmobiliario.com/MLC-2926780590-penthouse-duplex-en-luis-pasteur-sta-maria-de-manquehue-_JM#polycard_client=search-nordic&search_layout=grid&position=12&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento En Alonso De Córdova,25000.0,"Parque Bicentenario, Vitacura",3.0,3.0,,219.0,https://portalinmobiliario.com/MLC-2950144684-departamento-en-alonso-de-cordova-_JM#polycard_client=search-nordic&search_layout=grid&position=13&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento Venta Gerónimo De Alderete Terraza,17822.0,"Miguel Comas  Dp. , Vitacura, Región Metropolitana, Santiago., Juan XXIII, Vitacura",4.0,4.0,,136.0,https://portalinmobiliario.com/MLC-3249314692-departamento-venta-geronimo-de-alderete-terraza-_JM#polycard_client=search-nordic&search_layout=grid&position=14&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento En Venta En Francisco De Aguirre Terraza,15500.0,"Francisco De Riveros, Borde Río - Casa Piedra, Vitacura",3.0,4.0,,123.0,https://portalinmobiliario.com/MLC-3184947632-departamento-en-venta-en-francisco-de-aguirre-terraza-_JM#polycard_client=search-nordic&search_layout=grid&position=15&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
"Departamento En Venta En Vitacura, Excelente Ubicación",9900.0,"Parque Bicentenario, Vitacura",2.0,2.0,,117.0,https://portalinmobiliario.com/MLC-1607435399-departamento-en-venta-en-vitacura-excelente-ubicacion-_JM#polycard_client=search-nordic&search_layout=grid&position=16&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento En Venta En El Manío Con Terraza,17400.0,"Parque Bicentenario, Vitacura",2.0,3.0,,120.0,https://portalinmobiliario.com/MLC-3205930932-departamento-en-venta-en-el-manio-con-terraza-_JM#polycard_client=search-nordic&search_layout=grid&position=17&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento Con Vista Despejada En Las Nieves,13950.0,"Paul Claudel, Parque Bicentenario, Vitacura",2.0,3.0,,189.0,https://portalinmobiliario.com/MLC-3184114750-departamento-con-vista-despejada-en-las-nieves-_JM#polycard_client=search-nordic&search_layout=grid&position=18&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento En Las Nieves,10800.0,"Armando Jaramillo  D  B, Parque Bicentenario, Vitacura",4.0,3.0,,114.0,https://portalinmobiliario.com/MLC-1618599963-departamento-en-las-nieves-_JM#polycard_client=search-nordic&search_layout=grid&position=19&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento En Venta Vitacura,12500.0,"Pío XI, Vitacura",3.0,2.0,,137.0,https://portalinmobiliario.com/MLC-2947333310-departamento-en-venta-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=20&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Remodelado Departamento Frente Al Parque Bicentenario,19500.0,"Bicentenario  D, Parque Bicentenario, Vitacura",3.0,3.0,,140.0,https://portalinmobiliario.com/MLC-3000583342-remodelado-departamento-frente-al-parque-bicentenario-_JM#polycard_client=search-nordic&search_layout=grid&position=21&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento En Venta En Vitacura Con Jardín,18131.0,"Miguel Comas, Juan XXIII, Vitacura",3.0,4.0,,139.0,https://portalinmobiliario.com/MLC-3249276316-departamento-en-venta-en-vitacura-con-jardin-_JM#polycard_client=search-nordic&search_layout=grid&position=22&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
"Departamento Con Excelente Ubicación, Gastos Comunes Bajos",9900.0,Vitacura,4.0,3.0,,121.0,https://portalinmobiliario.com/MLC-2931373010-departamento-con-excelente-ubicacion-gastos-comunes-bajos-_JM#polycard_client=search-nordic&search_layout=grid&position=23&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento En Sector Tabancura,9300.0,"Tabancura, Tabancura, Vitacura",3.0,2.0,,130.0,https://portalinmobiliario.com/MLC-2938256046-departamento-en-sector-tabancura-_JM#polycard_client=search-nordic&search_layout=grid&position=24&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
"Departamento En Venta En La Llavería, Vitacura Con Terraza",12250.0,"Del Mirador, La Llavería, Vitacura",3.0,2.0,,138.0,https://portalinmobiliario.com/MLC-3169891914-departamento-en-venta-en-la-llaveria-vitacura-con-terraza-_JM#polycard_client=search-nordic&search_layout=grid&position=25&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento Con Vista Al Club De Golf,16400.0,"Avenida Presidente Kennedy Lateral, Parque Bicentenario, Vitacura",4.0,3.0,,224.0,https://portalinmobiliario.com/MLC-2926741482-departamento-con-vista-al-club-de-golf-_JM#polycard_client=search-nordic&search_layout=grid&position=26&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Venta Departamento Condominio Seguro,30500.0,"Santa María, Santa María De Manquehue, Vitacura",4.0,4.0,,236.0,https://portalinmobiliario.com/MLC-1618574247-venta-departamento-condominio-seguro-_JM#polycard_client=search-nordic&search_layout=grid&position=27&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento Sector La Vendimia.,28000.0,"La Vendimia, Santa María De Manquehue, Vitacura",4.0,4.0,,315.0,https://portalinmobiliario.com/MLC-3117022662-departamento-sector-la-vendimia-_JM#polycard_client=search-nordic&search_layout=grid&position=28&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento Con Jardín En El Polo,24000.0,"Escribano Diego Rutal, Borde Río - Casa Piedra, Vitacura",4.0,3.0,,286.0,https://portalinmobiliario.com/MLC-3117113180-departamento-con-jardin-en-el-polo-_JM#polycard_client=search-nordic&search_layout=grid&position=29&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento En Sector Alonso De Córdova,19800.0,"Las Hualtatas, Parque Bicentenario, Vitacura",3.0,4.0,,265.0,https://portalinmobiliario.com/MLC-2926425522-departamento-en-sector-alonso-de-cordova-_JM#polycard_client=search-nordic&search_layout=grid&position=30&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
"Excelente Ubicación, Sin Estacionamiento/bodega",8000.0,"Av Vitacura, Parque Bicentenario, Vitacura",3.0,2.0,,120.0,https://portalinmobiliario.com/MLC-2978876320-excelente-ubicacion-sin-estacionamientobodega-_JM#polycard_client=search-nordic&search_layout=grid&position=31&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento Cuatro Dormitorios. Vista Nororiente,13500.0,"Valle Central, Tabancura, Vitacura",4.0,3.0,,181.0,https://portalinmobiliario.com/MLC-3169878240-departamento-cuatro-dormitorios-vista-nororiente-_JM#polycard_client=search-nordic&search_layout=grid&position=32&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
"Excelente Ubicación, Sin Estacionamiento/bodega",8000.0,"Parque Bicentenario, Vitacura",3.0,2.0,,120.0,https://portalinmobiliario.com/MLC-2978880772-excelente-ubicacion-sin-estacionamientobodega-_JM#polycard_client=search-nordic&search_layout=grid&position=33&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
Departamento Nuevo Sector Gerónimo De Alderete/vitacura.,16990.0,"Miguel Comas  Dp. , Vitacura, Región Metropolitana, Santiago., Juan XXIII, Vitacura",3.0,3.0,,138.0,https://portalinmobiliario.com/MLC-2882630650-departamento-nuevo-sector-geronimo-de-alderetevitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=34&type=item&tracking_id=dafef9c1-a170-4349-93b7-066699d4b3dc,
