title,price,location,bedrooms,bathrooms,surface_total,surface_useful,url,description
Ciudad A.v,8537.0,"Av. Américo Vespucio Norte 1450, Parque Bicentenario, Vitacura",1.5,2.5,,95.0,https://portalinmobiliario.com/MLC-2789750248-ciudad-av-_JM#polycard_client=search-nordic&search_layout=grid&position=20&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Santa María 8700,16900.0,"Av. Santa María 8700, Lo Curro, Vitacura",3.0,4.0,,178.5,https://portalinmobiliario.com/MLC-1576937166-santa-maria-8700-_JM#polycard_client=search-nordic&search_layout=grid&position=21&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Edificio Vitacura Oriente,8990.0,"Av Vitacura 5481, Vitacura, Pío XI, Vitacura",2.5,2.5,,71.5,https://portalinmobiliario.com/MLC-3005623936-edificio-vitacura-oriente-_JM#polycard_client=search-nordic&search_layout=grid&position=22&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Espoz Jardín Del Este,18900.0,"Espoz 4150, Parque Bicentenario, Vitacura",2.5,3.0,,158.0,https://portalinmobiliario.com/MLC-1560900496-espoz-jardin-del-este-_JM#polycard_client=search-nordic&search_layout=grid&position=23&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Edificio Juan Agustín,21000.0,"Juan Agustín Alcalde 2727, Parque Bicentenario, Vitacura",2.5,3.0,,138.0,https://portalinmobiliario.com/MLC-1540036039-edificio-juan-agustin-_JM#polycard_client=search-nordic&search_layout=grid&position=24&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Edificio Arqdomus,15144.0,"Av. Americo Vespucio Norte 2255, Borde Río - Casa Piedra, Vitacura",3.0,3.0,,126.0,https://portalinmobiliario.com/MLC-1386943323-edificio-arqdomus-_JM#polycard_client=search-nordic&search_layout=grid&position=25&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Vista Lo Matta,5990.0,"Av. Pdte. Kennedy 9380, La Llavería, Vitacura",2.0,2.0,,80.0,https://portalinmobiliario.com/MLC-2942379510-vista-lo-matta-_JM#polycard_client=search-nordic&search_layout=grid&position=26&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Uniq,16589.0,"Miguel Comas 1795, Juan XXIII, Vitacura",2.5,2.5,,109.0,https://portalinmobiliario.com/MLC-2869493678-uniq-_JM#polycard_client=search-nordic&search_layout=grid&position=27&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Candelaria,10519.0,"Candelaria 4233, Parque Bicentenario, Vitacura",1.5,1.5,,91.5,https://portalinmobiliario.com/MLC-1385395587-candelaria-_JM#polycard_client=search-nordic&search_layout=grid&position=28&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Edificio El Nogal,9452.0,"El Nogal 1750, Estadio Croata, Vitacura",2.5,2.5,,101.0,https://portalinmobiliario.com/MLC-2824494992-edificio-el-nogal-_JM#polycard_client=search-nordic&search_layout=grid&position=29&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
