bedrooms,bathrooms,surface_useful
154.26861399775643,-2027.4650851853794,965.920549601289
154.26861399775643,-59.05238112190416,-3487.6813797772925
154.26861399775643,-59.05238112190416,-3560.691247472024
1439.8403973123939,-2027.4650851853794,-4217.780056724601
-1131.3031693168807,-59.05238112190416,-2684.5728351352536
-1131.3031693168807,-59.05238112190416,-3998.750453640408
1439.8403973123939,-59.05238112190416,3156.2165804432148
-1131.3031693168807,1909.3603229415712,89.80213726451883
154.26861399775643,-59.05238112190416,-1370.395216630098
154.26861399775643,1909.3603229415712,5784.571817453526
154.26861399775643,-2027.4650851853794,-1516.41495201956
1439.8403973123939,-2027.4650851853794,-6992.155029124374
1439.8403973123939,-2027.4650851853794,-9182.451059966299
-1131.3031693168807,-59.05238112190416,2280.0981681064445
154.26861399775643,-59.05238112190416,-2246.5136289668685
1439.8403973123939,-59.05238112190416,-3487.6813797772925
-1131.3031693168807,-59.05238112190416,-3998.750453640408
154.26861399775643,-59.05238112190416,-3341.661644387831
-1131.3031693168807,1909.3603229415712,10530.21321761103
154.26861399775643,-2027.4650851853794,-6189.046484482334
1439.8403973123939,-2027.4650851853794,-7284.194499903298
154.26861399775643,-59.05238112190416,-786.3162750722513
154.26861399775643,1909.3603229415712,-2392.5333643563304
1439.8403973123939,-2027.4650851853794,-5312.928072145564
154.26861399775643,-59.05238112190416,-1297.3853489353673
154.26861399775643,1909.3603229415712,2134.0784327169827
1439.8403973123939,-59.05238112190416,-786.3162750722513
-1131.3031693168807,1909.3603229415712,3083.2067127484843
154.26861399775643,-59.05238112190416,-3341.661644387831
-1131.3031693168807,1909.3603229415712,-1224.3754812406364
154.26861399775643,1909.3603229415712,4616.413934337832
154.26861399775643,-59.05238112190416,-3268.6517766930997
1439.8403973123939,-2027.4650851853794,-6335.066219871796
154.26861399775643,-2027.4650851853794,-2976.612305914177
154.26861399775643,-59.05238112190416,1111.9402849907506
154.26861399775643,-59.05238112190416,16.792269569788
2725.4121806270305,-2027.4650851853794,-5823.99714600868
154.26861399775643,-59.05238112190416,-2538.5530997457918
2725.4121806270305,-3995.877789248855,-8379.34251532426
-2416.874952631518,1909.3603229415712,11625.361233031994
1439.8403973123939,-2027.4650851853794,-5677.977410619218
154.26861399775643,-59.05238112190416,5784.571817453526
1439.8403973123939,-2027.4650851853794,5054.4731405062175
154.26861399775643,-59.05238112190416,-4874.868865977179
154.26861399775643,-59.05238112190416,-2027.484025882676
-1131.3031693168807,3877.773027005046,6587.680362095565
2725.4121806270305,-3995.877789248855,-9839.539869218877
1439.8403973123939,-2027.4650851853794,-2976.612305914177
154.26861399775643,1909.3603229415712,-275.24720120913537
-1131.3031693168807,-59.05238112190416,-3268.6517766930997
154.26861399775643,-59.05238112190416,-4728.849130587717
-1131.3031693168807,1909.3603229415712,-786.3162750722513
-1131.3031693168807,1909.3603229415712,-3122.6320413036383
-1131.3031693168807,1909.3603229415712,-2027.484025882676
154.26861399775643,-2027.4650851853794,-4436.809659808793
-1131.3031693168807,-59.05238112190416,-2173.5037612721376
