sample,actual_price,predicted_price,error,bedrooms_value,bedrooms_contribution,bathrooms_value,bathrooms_contribution,surface_useful_value,surface_useful_contribution
1,194000.0,201950.9192592862,7950.919259286195,3.0,20302.118680793414,4.0,22651.42337935814,183.0,8259.096581246116
2,152400.0,109070.38785602097,-43329.61214397903,3.0,16679.338434041718,2.0,-29025.54828722854,102.0,-69071.89100745476
3,135000.0,160367.6535665857,25367.653566585708,4.0,-17568.10466648778,4.0,23719.88271390225,140.0,-30101.50043008027
4,125000.0,128136.91967387925,3136.9196738792525,4.0,-18460.997456622423,3.0,-28435.340337659738,120.0,-29362.893535945124
5,175000.0,193281.60583820316,18281.605838203162,2.0,19086.431543294686,3.0,-28635.406670208635,180.0,9748.713850499042
